fecha,valor
2023-05-01,99693
2023-05-02,115039
2023-05-03,119562
2023-05-04,126709
2023-05-05,121662
2023-05-06,121580
2023-05-07,101326
2023-05-08,98829
2023-05-09,115881
2023-05-10,120905
2023-05-11,130176
2023-05-12,126017
2023-05-13,122061
2023-05-14,109618
2023-05-15,109010
2023-05-16,124635
2023-05-17,132303
2023-05-18,134666
2023-05-19,128064
2023-05-20,119245
2023-05-21,102831
2023-05-22,103944
2023-05-23,116525
2023-05-24,125529
2023-05-25,117282
2023-05-26,102637
2023-05-27,94051
2023-05-28,83598
2023-05-29,75328
2023-05-30,100255
2023-05-31,114657
2023-06-01,123274
2023-06-02,118971
2023-06-03,118159
2023-06-04,100293
2023-06-05,103470
2023-06-06,121171
2023-06-07,123777
2023-06-08,119707
2023-06-09,115274
2023-06-10,112661
2023-06-11,97186
2023-06-12,107280
2023-06-13,117830
2023-06-14,122674
2023-06-15,127950
2023-06-16,111438
2023-06-17,106180
2023-06-18,92330
2023-06-19,86472
2023-06-20,108308
2023-06-21,116382
2023-06-22,121639
2023-06-23,114620
2023-06-24,109367
2023-06-25,94615
2023-06-26,100099
2023-06-27,109565
2023-06-28,105972
2023-06-29,105334
2023-06-30,95261
2023-07-01,81262
2023-07-02,68485
2023-07-03,64545
2023-07-04,57463
2023-07-05,84862
2023-07-06,93055
2023-07-07,90544
2023-07-08,90854
2023-07-09,79624
2023-07-10,88708
2023-07-11,103604
2023-07-12,110270
2023-07-13,112990
2023-07-14,99096
2023-07-15,101121
2023-07-16,80846
2023-07-17,93782
2023-07-18,106373
2023-07-19,110950
2023-07-20,111622
2023-07-21,100512
2023-07-22,99855
2023-07-23,86900
2023-07-24,89904
2023-07-25,102879
2023-07-26,109255
2023-07-27,112865
2023-07-28,103060
2023-07-29,97580
2023-07-30,88221
2023-07-31,86006
2023-08-01,98390
2023-08-02,101581
2023-08-03,103025
2023-08-04,92055
2023-08-05,93117
2023-08-06,81141
2023-08-07,83589
2023-08-08,95660
2023-08-09,100223
2023-08-10,104847
2023-08-11,92468
2023-08-12,90486
2023-08-13,80640
2023-08-14,83588
2023-08-15,93191
2023-08-16,99562
2023-08-17,100030
2023-08-18,89969
2023-08-19,90381
2023-08-20,78346
2023-08-21,79909
2023-08-22,86919
2023-08-23,92261
2023-08-24,95449
2023-08-25,89251
2023-08-26,90883
2023-08-27,81571
2023-08-28,78296
2023-08-29,93828
2023-08-30,92289
2023-08-31,91256
2023-09-01,86692
2023-09-02,82424
2023-09-03,79003
2023-09-04,72691
2023-09-05,102695
2023-09-06,117759
2023-09-07,129391
2023-09-08,124668
2023-09-09,117255
2023-09-10,105142
